gene,sig_population,Early_G1,Late_G1,S,G2_M,state
Dnaja1,3,1.003971933,1.258075423,1.226638385,1.13507412,up
Kars,3,1.372317716,2.082932158,2.002136312,1.95802052,up
Mtf2,3,1.101429779,1.783645775,1.707171671,1.426166534,up
Zfp629,2,0.330700823,1.108821884,0.461728989,0.376194175,up
Clns1a,3,1.669729246,2.345898714,2.33842063,2.202605231,up
Gpatch4,5,1.560134888,2.060574344,1.296574391,1.185609711,up
Nr2c2ap,4,1.210322705,1.752571182,0.87171882,0.772851174,up
Pdcd2l,2,0.583115996,0.934785495,0.326933082,0.786573058,up
Srsf7,4,1.234438333,1.341103285,1.096899437,0.770104233,up
Pusl1,3,0.977888467,1.413115964,0.689625801,0.157420543,up
Ccdc90b,2,0.314301541,1.071513273,0.692148371,0.635067122,up
Ccdc86,2,0.69770732,1.109222142,0.85856758,0.593039949,up
Zhx1,2,1.344290053,1.38245956,1.066995461,1.019476501,up
Gmps,2,1.230187651,1.682636034,1.258223713,1.078255766,up
Nap1l4,3,1.593068622,2.232661242,2.00033575,0.878225517,up
Ldha,3,0.984222605,1.285314607,1.23327149,0.038879631,up
Xist,4,1.191387499,1.359480552,1.107076136,0.798340903,up
Pycrl,3,1.420054832,2.145821306,2.00922,0.512023815,up
Bax,3,1.059104691,2.082086233,2.066793079,1.519978309,up
Ubtf,4,1.104509897,2.11561406,2.027971417,1.300773194,up
Prps1l3,4,1.464676259,2.115277092,1.885005406,1.675616453,up
Flna,3,1.218478013,1.878384165,0.901300743,1.538138908,up
Fam173a,2,0.977878313,2.068593584,2.035548416,1.456910218,up
Pdia4,3,1.207749164,1.880366066,1.409306961,1.681745649,up
Setdb1,3,1.040459134,1.299071856,0.957999949,0.866515989,up
Ctnnbl1,5,0.855909488,1.977509821,1.503450859,1.622768461,up
Hars,3,1.280320711,1.920233989,1.712523834,1.371715088,up
Ccdc101,5,1.439356007,2.500938893,1.916847685,1.797403043,up
Pnn,3,1.222169927,1.553961296,1.469135019,1.076497791,up
Fyttd1,2,0.702972877,1.255104124,1.079799446,0.919916165,up
Sars,3,1.111422943,1.266321442,1.158897908,1.160883831,up
Eif4a1,2,1.013202252,1.595065737,1.294374488,1.19648692,up
Gcfc1,4,1.017191842,1.478104967,1.278135988,0.929989461,up
Ing5,4,0.969118058,1.17817402,1.060206258,0.527801584,up
Tti1,2,0.72889722,1.849804098,0.56843247,1.823393172,up
Azin1,3,0.915317467,2.130670464,1.496299246,1.41518257,up
Timm17a,3,1.211343319,2.09740228,2.001558311,1.658592912,up
Dhx15,3,1.25039821,1.759737039,1.737211753,1.572577774,up
Tsta3,3,0.765689936,2.098261223,2.059213945,1.508226233,up
Rasgrp2,3,1.029160308,2.037912429,1.842695602,0.910103498,up
Eif4ebp1,3,1.178117791,1.948671195,1.606445611,0.328078045,up
Topbp1,5,1.038717262,1.38996055,1.086488214,0.649156906,up
Tpt1,2,0.621857057,1.267132182,0.883719632,0.103228991,up
Akt2,2,0.961282983,1.656187729,0.860368142,1.13952988,up
Nup54,3,1.234833672,1.91849507,1.511383665,1.739181241,up
Mad2l2,6,1.10175166,2.098608713,2.072099581,0.743888901,up
Exoc3,2,-0.289426391,1.340904358,0.024442661,0.850582238,up
Ascc1,2,0.974392777,1.084345315,0.277977272,0.891747018,up
Cherp,3,0.904183139,1.478992082,0.884873966,0.614787574,up
Clcc1,4,1.082788032,2.255979328,1.550626794,1.751752926,up
Srm,4,1.024302336,2.165666811,1.358345506,0.526303234,up
Npat,3,0.51668674,1.57146925,0.58462091,0.987165323,up
Mrps6,2,0.456266874,1.078435493,0.582823612,0.853866591,up
Fancl,4,1.354722745,1.354806693,0.938863329,1.126134248,up
Hspa4,2,-0.012860165,0.975459843,0.662376616,0.50150635,up
Tmed1,4,0.521069556,2.320809268,1.944768939,0.817930349,up
Gm5665,4,0.937735079,1.178514322,1.097976573,0.440631526,up
Acy1,2,0.747616617,1.842922931,1.790578094,0.853106,up
Tor3a,2,0.995156038,1.913783411,1.221630679,0.82653786,up
Cib1,3,0.934519391,1.70225409,0.80722127,1.408214911,up
Bag2,4,0.851296167,2.075924701,1.814105256,0.647254673,up
Aga,4,0.244952559,1.515140741,0.385804941,1.089060033,up
Casp7,4,0.726915966,1.946168794,1.470984392,0.992270826,up
Hnrnpa0,4,0.252028469,1.332251717,0.730819528,0.806889561,up
Ncl,3,0.85187486,1.115824291,1.052914045,0.425145251,up
Gpd1l,2,0.944752005,1.352245355,0.918903444,0.940374414,up
Sdr39u1,3,1.138624914,1.689966064,1.609288339,1.308127256,up
Ormdl1,3,0.975315345,1.661152525,1.228292542,0.876183288,up
RBM4B,3,0.492181777,1.730531458,1.3168446,1.542342175,up
Lyrm4,5,0.403674411,1.00135529,0.961657691,0.011270955,up
Ankrd26,3,0.931612529,1.133782318,0.828056154,0.62182829,up
Hsd17b12,4,1.001057336,1.920202317,1.554731914,1.732363571,up
Cops7a,3,0.926727579,1.647320052,1.444855353,1.623400558,up
Trim28,5,0.500521626,1.799444008,1.341373839,0.922124657,up
Larp4,4,0.781631996,1.8347647,1.612143829,0.777163047,up
Pop5,2,0.905118033,1.705279854,1.572403381,0.793008567,up
Thumpd3,2,0.760576437,2.002838108,1.566187571,1.260655928,up
Pex2,2,0.912059503,1.741494322,1.551506694,0.392692601,up
Aatf,2,0.192454867,1.193591864,0.225454692,0.533833108,up
Cyp51,3,0.385388154,1.466413289,1.146803616,0.255738966,up
Znrd1,2,0.73873316,0.972807267,0.757594153,0.948711406,up
Dtd1,3,0.319074965,1.58972944,1.448314995,0.586209895,up
Haus6,4,0.693256834,1.923062262,1.702632856,1.36631847,up
Dus1l,4,0.519895444,1.866625508,1.360219276,1.630715169,up
Ddx3x,3,0.088399472,1.076931709,0.9305571,0.72908224,up
Lap3,2,0.997291894,1.418970382,1.020698616,0.415192714,up
Cct7,3,0.793100755,1.558739087,1.384512937,1.278048674,up
Bzw1,2,0.733232531,1.765185984,1.631028051,1.274934605,up
Adprh,2,0.614505047,1.640725011,1.253098448,1.518204739,up
Actr1b,2,0.776617865,1.502411308,1.126798905,1.178308496,up
Gps2,5,0.675773823,1.869439686,1.842119723,1.44967914,up
Mrpl41,3,0.807019994,1.56983893,1.498383252,0.874795071,up
Atic,2,0.475610076,2.025043508,1.430339531,0.987606466,up
Bysl,2,0.73850184,1.256921975,1.204656676,0.792931959,up
Rogdi,2,0.63345861,1.501419414,0.795787597,1.212950904,up
Slc3a2,3,0.821430342,1.357181097,1.270877115,1.023548855,up
Mrps25,2,0.591926794,1.522095032,0.992633872,0.74153538,up
S100a1,4,0.302953428,1.308527379,1.267934233,-0.197640409,up
Sms,2,0.469991786,1.066947069,0.75907213,0.906931073,up
Trappc12,3,0.796270588,1.550204398,1.340865115,1.070757502,up
Bin3,2,-0.293145666,1.210868992,0.72989063,0.983510087,up
Akr1e1,2,0.382148253,1.271371687,0.882282771,0.49295433,up
Thop1,5,0.223003704,1.354249614,1.140590027,0.161814387,up
Nsmce2,3,0.558303671,1.702393892,1.676673398,1.371158589,up
Cad,6,0.667106961,1.836521439,1.585403891,0.977297015,up
Cd72,3,0.502406662,1.7416058,1.638830812,1.317918768,up
Enoph1,4,0.443440133,1.902019854,1.812536485,1.256375533,up
Hnrnpu,4,0.557705372,1.609167514,1.50220117,0.984302348,up
Commd10,2,0.798005122,1.311495021,1.300674347,0.934375704,up
Naa16,2,0.827778832,1.404176139,0.752446987,0.990174903,up
Tank,3,0.293058401,1.370848456,0.829999355,1.343430619,up
Fdps,2,0.751077023,1.587956433,1.512555448,1.102006804,up
Rnf219,3,0.470079731,1.749794445,1.623211325,0.867867082,up
Prmt1,4,0.718239669,1.47051708,1.295277863,0.748520074,up
Utp6,3,0.949916886,1.160387102,1.15473934,0.996305767,up
Palb2,6,0.535720747,1.526076854,1.493777107,1.404220684,up
Rexo4,3,0.645219386,1.478937886,1.452085755,1.46944631,up
Yeats2,2,0.517374983,1.252641013,1.183852314,1.007326095,up
Timm17b,3,0.79790255,1.586069886,1.535245153,1.279255575,up
Tada2a,3,0.602790537,1.12549365,1.018768775,0.756009657,up
Rbck1,3,0.252593299,1.693160442,0.740758832,0.811941772,up
Strada,3,0.777297171,1.504734016,1.353285766,0.865471504,up
Ccdc41,3,0.351186934,1.127312232,0.688272482,0.736263468,up
Stag1,2,0.26697309,1.32623647,1.188959902,1.124637413,up
Gm20425,2,0.487303554,1.387755608,1.128681478,0.999438573,up
Coq6,5,0.346590097,1.50314086,1.32024721,1.287070872,up
Mapk1ip1l,2,0.626869509,1.335190704,1.180933283,0.988912667,up
Zbtb1,3,0.607851829,1.140411407,1.040628018,0.828833162,up
Rbmx2,4,0.103633817,1.616883439,1.387192766,1.359398777,up
Fam175a,2,0.39686554,1.413801577,1.155211161,1.1966607,up
Anxa3,3,0.660424392,1.176176792,1.037597517,1.104525958,up
Pfkp,2,0.202501041,1.274822595,0.229048513,0.462475603,up
Galk2,2,0.401954865,1.395453833,1.348307563,0.745809226,up
Mrps34,3,0.222953193,1.182180649,0.81197066,0.681008652,up
Acp6,2,0.563426578,1.478662116,0.982549856,1.405182837,up
Rwdd1,3,0.498185715,1.139057435,0.968971674,0.765817621,up
Icam4,4,0.281280947,1.066400944,0.694888283,0.341466314,up
Uspl1,2,0.423244675,0.971139385,0.884039306,0.887602346,up
Rhebl1,3,0.717362341,0.941392435,0.910500336,0.513510903,up
Gars,4,0.392866501,1.116749089,0.928237156,0.73736788,up
Hcst,2,0.471567937,1.371380747,1.320093433,0.694055756,up
Got1,3,0.347445061,1.385289719,0.992048008,1.361079156,up
Klhdc3,2,0.340506197,1.431678954,0.930214599,1.297235335,up
Rps19bp1,2,0.295730444,1.174298327,1.016230168,1.006145928,up
Atg5,2,0.418440367,1.131509911,1.063684993,0.905775769,up
Ciz1,3,0.47968639,1.17336214,0.842994078,1.108855677,up
Sfr1,2,0.520662604,0.98666796,0.913864932,0.807349021,up
Zfp956,3,0.394833475,1.041500512,0.428981017,0.717767027,up
Agfg2,2,0.13844936,1.045733426,0.942283865,0.562891419,up
Exosc4,2,0.327046286,0.942459359,0.89919971,0.844198201,up
Ndufaf1,2,0.572293305,1.002190492,0.96631356,0.768710257,up
Srek1,2,0.771197809,0.900831527,0.725115127,0.486599276,up
Phrf1,2,-0.012004274,1.199242162,1.037646887,0.997980473,up
Vars,4,0.210211692,1.137618198,0.997904227,1.112087137,up
Dpp9,2,0.192205541,1.123247681,0.641657366,0.842148605,up
Dpm2,2,0.554750351,1.050736628,0.766265042,1.012361905,up
Cdkn1a,2,0.139842083,0.982336028,0.96337865,0.783716343,up
Opa1,4,0.314195719,1.197264206,0.793215301,1.148027766,up
Adipor1,2,0.306738832,1.128382277,1.097563381,0.893234746,up
Thoc5,2,0.079166346,1.14227016,0.99139591,1.073068292,up
Zbtb8a,4,0.222872493,1.056193736,0.617489359,0.795200849,up
Med28,2,0.626669108,0.929167878,0.893255531,0.922170858,up
Pafah1b2,3,0.134203134,0.859701989,0.65540872,0.509710204,up
Ebag9,3,0.447310781,0.936101682,0.926553824,0.587729037,up
Ppm1f,2,0.706917314,0.647152627,1.043312284,0.414593481,up
Keap1,3,0.755035564,0.086848747,1.213372194,0.84345798,up
Mcm6,6,5.961577175,6.201248606,6.27152742,3.397320947,up
Pak1,2,0.648191432,0.381870353,0.942895775,0.83593467,up
Rrm1,6,4.196836272,6.546122971,7.260800063,5.767939683,up
Skap2,2,0.59923744,0.995216848,1.404534706,0.800842,up
Api5,3,1.30134044,2.356138746,2.421929434,1.432281314,up
Slbp,6,4.302771367,5.602566281,6.344029605,3.365427028,up
Pcna,6,4.784088847,6.64018995,7.147501103,4.031146128,up
Atad2,6,3.347310424,5.587328362,6.356944329,4.072361555,up
Aldh7a1,4,0.615998742,0.669049642,1.792723019,0.758034863,up
Rpa1,6,3.583279271,5.074071958,5.830587826,3.412271201,up
Tipin,6,6.410240237,7.222184234,7.879117023,4.872201526,up
Mpo,2,4.041958092,5.660614359,8.230224973,6.138123144,up
Txnl1,6,2.398429945,2.732487857,3.265792016,2.274502983,up
Ddx39b,6,1.918072756,2.461234401,2.510196854,2.404067937,up
Mcm5,6,7.292283714,8.33376282,8.590101124,5.277428013,up
Apex1,4,2.588569884,4.026614081,4.081802794,1.160979083,up
Cirh1a,5,1.821019391,2.86077811,2.902969262,1.277014492,up
Syce2,6,3.931552704,5.494297077,6.097159029,2.984760026,up
Aacs,2,0.592669465,0.440412378,1.183648679,0.625960298,up
Phgdh,4,2.032966689,2.696953134,3.039825625,1.624276111,up
Nedd8,4,2.285943282,2.38938706,2.634858269,2.522478353,up
Aifm1,5,1.532835684,2.508289378,3.774188798,2.737919365,up
Nt5c,2,1.903595366,2.293451117,3.152205307,1.667707074,up
Mcm7,6,5.937766842,7.09642362,7.266543364,4.759875967,up
Ankrd10,4,1.908388403,2.380357933,2.709799027,1.736240325,up
Nkg7,5,3.641486801,4.836541258,6.787971713,4.859790189,up
Actl6a,5,2.095830819,3.254876765,4.138630407,2.698161392,up
Mthfd1,5,2.633242417,3.461882601,4.932573935,2.016958963,up
Exosc2,5,1.69217648,2.959901675,3.068011337,1.614625512,up
Mrps16,5,2.283341413,2.280170872,2.408436212,2.071204022,up
Nop58,4,2.400140375,3.054492334,3.382022645,2.207851235,up
Smyd5,3,0.499800798,1.249526471,2.230696055,0.833654299,up
Trf,2,2.813761092,3.172781433,4.859037469,2.450262006,up
Dynlrb1,3,2.132714335,2.115819298,2.253358246,2.055518115,up
Cd48,4,3.228658846,5.164845637,6.896398851,4.82774929,up
Cd34,2,2.247611818,2.529734693,3.462484753,2.529678001,up
Nme1,5,2.521220933,2.842068571,3.222921876,1.551599167,up
Nup62,6,4.117875431,4.960280911,5.770596273,5.002294221,up
Mrpl21,6,2.376742669,3.265401102,3.533841836,2.604139051,up
Ruvbl2,5,2.187074916,3.395634231,4.315598271,2.823112657,up
Psmd8,2,1.81831519,2.223581171,2.943401677,2.290711299,up
Pa2g4,5,2.132743158,2.896377796,3.502691583,1.796989175,up
Csk,2,1.016170117,0.586928712,1.374037026,0.69481804,up
Stip1,5,1.924665392,2.593396348,3.303698876,2.617235567,up
BC035044,3,2.377369682,3.239799791,4.729748437,3.962460364,up
Uhrf1,6,4.804476607,7.120722026,7.437480407,4.625775594,up
Gart,5,1.725286208,3.229733762,3.829786224,2.170618123,up
Puf60,3,1.633121161,1.504540347,2.183617918,1.978179283,up
Elp2,3,1.866335821,2.350920012,3.011871872,1.737773458,up
Crip1,3,2.513924368,3.054128197,3.758054552,3.278434947,up
Ncs1,3,1.205541434,1.732880241,1.824352298,-0.027361498,up
Rpa2,6,4.418014816,6.188990797,6.864825167,3.909270705,up
Fam96a,5,2.009919897,2.514183737,3.002889346,2.835536863,up
Hspd1,4,2.120496632,2.799518787,2.990165667,1.677590291,up
Hddc2,3,2.172338649,2.040935569,2.471686113,1.474957355,up
Vdac3,5,2.334425121,2.688641764,3.180873448,1.881502238,up
Pfdn2,2,2.065706797,1.606670906,2.426442783,1.906324757,up
Psmc4,6,2.184574575,3.194338531,3.535240915,2.735127951,up
Cct3,3,2.203046157,2.563960363,2.806303448,2.19849863,up
Dtl,6,4.412996908,6.361701306,6.544606232,3.128452449,up
Prim1,6,4.621160144,6.371608239,7.036867654,4.343427154,up
Mrpl12,5,2.138250262,4.011714255,4.482311273,2.636429248,up
Lsm3,5,2.035229274,3.141554578,3.634166,2.834426207,up
Exosc8,6,2.828543118,4.512223209,4.991765987,4.23396676,up
Shmt1,5,3.562809631,5.031222431,5.707490255,2.100264583,up
Tyrobp,2,1.401248218,2.497240885,3.434767539,1.308580346,up
Sec61b,4,2.050269325,2.22526437,2.970019834,2.077515705,up
Hat1,6,3.394724427,5.39347085,5.857244035,3.574137131,up
Dnmt1,6,4.289696799,4.951569613,5.395711217,4.071547956,up
Tomm5,2,2.716967834,3.095777067,3.74482659,3.12460291,up
Uchl5,6,2.284781647,3.398815626,3.922377504,2.438318877,up
Gnl3,3,1.29261085,2.215310998,2.995776129,0.045093131,up
Phb,4,1.889149859,2.204396793,2.339547227,0.91294986,up
Dctpp1,6,4.121145912,5.462783202,5.740467293,3.702148922,up
Slc20a1,6,0.89617052,2.619198801,3.041307839,1.173315372,up
Serpinb1a,3,2.192089981,3.027437362,4.053337815,3.192563789,up
Cdk6,5,2.07032407,2.658927093,3.062911111,2.669693256,up
Sf3b3,5,2.063995743,2.645748195,2.727739298,1.952917766,up
Cops3,4,3.240435672,3.240066235,3.611796247,3.18113807,up
Eif3l,4,1.592136577,1.809903956,2.406621372,2.19792983,up
Fen1,6,4.11291519,6.422384181,7.369943634,5.334168428,up
Hells,6,4.232397789,5.672652512,6.409562773,2.127615526,up
Ranbp1,6,3.324162523,4.161157784,4.515898631,2.784661579,up
Rpf2,2,1.520371356,2.057744141,2.799121994,2.063539205,up
Aurkaip1,3,0.932859349,2.442195684,2.869755757,2.519392341,up
Tex30,6,1.913280467,3.530460561,4.618399395,3.583806187,up
Eif3g,5,2.208895855,2.907839298,3.434749664,2.32610575,up
Umps,6,3.442446498,4.896841815,5.074367747,2.965414111,up
Atp5f1,4,1.371260317,1.637851335,2.240283121,1.521810086,up
Dnajc9,6,4.572724246,5.403901171,6.199117377,5.381751386,up
Mrpl42,5,2.07435834,2.674983014,3.430110911,2.898876043,up
Gmnn,6,3.506261581,5.948018176,6.935754191,4.555575964,up
Mrps15,4,1.551748958,2.227049284,3.28721685,2.782849809,up
Hn1l,6,3.202853159,4.301785971,5.087374411,3.307059652,up
Nrm,6,3.845559985,5.459738232,6.017033644,4.785384689,up
Adh5,4,1.333722379,2.396705623,2.628655838,1.971702197,up
Calm3,5,1.394187405,2.081191893,2.917060092,2.375068643,up
Pold3,6,2.762490904,3.617282949,4.818351466,2.935577296,up
Snrpd1,6,2.440639025,3.97639727,4.136134989,3.810320316,up
Rrp1b,3,1.507337599,2.460801151,2.666157943,1.030155002,up
Bccip,2,1.858322594,1.897492194,2.405406284,1.683119701,up
Ran,6,2.203901057,2.870492939,3.075796692,2.698012493,up
Nasp,6,2.793447719,4.252896194,5.662435521,2.490780632,up
Mrps21,3,1.727640844,2.713860173,3.120658236,3.029609626,up
Myc,2,1.860127493,2.782655979,2.835310792,0.122230101,up
Paics,6,2.376520556,2.62579864,3.057633856,2.104572238,up
Cox6a1,5,1.779061034,3.159052358,4.014314407,3.317094661,up
Scarb1,6,2.35369114,2.799759084,3.249390369,1.6444824,up
Mrpl36,4,1.713444088,2.93715053,3.160430861,2.439765859,up
Cox5a,5,2.513222972,3.128419334,4.377647071,2.916831017,up
Timm8a1,6,2.244628722,3.952563588,4.850205592,2.906417772,up
Psma1,2,2.315170786,2.798249749,3.212946742,2.353133902,up
Xrcc6,2,1.139867728,2.056255081,2.358009486,1.560679063,up
Banf1,4,2.161724814,2.620180563,3.02804273,2.428048477,up
Parp1,5,2.300850591,3.278075738,4.097738203,2.489369034,up
Ndufb2,3,1.90489633,1.789307418,2.893534045,1.923841038,up
Mrpl18,6,3.376116401,4.349162216,4.696586181,3.51203605,up
Sf3b5,5,2.104364595,2.855340632,4.385071815,3.149174229,up
Rbmxl1,5,2.895095148,3.315542237,3.375404299,2.954333432,up
Wdhd1,6,3.051581665,3.89199573,5.095696102,3.345939424,up
Cox6b1,4,1.888240539,1.762461662,2.596227616,2.05364656,up
Ptpn7,4,2.004605139,2.475524946,3.185109482,1.609316519,up
Ndufab1,4,2.520092479,2.984768809,3.39497095,2.206030571,up
Fignl1,6,3.176334755,5.220406405,6.157462322,4.619111955,up
Tmem14c,6,2.526457605,3.356524831,3.984053683,2.857566156,up
Slc25a12,2,0.848972567,1.938238684,2.747232728,1.586927694,up
Adsl,4,1.759651609,2.507375477,2.952721045,1.462878054,up
Ddx1,4,2.406570772,2.466359535,2.925447028,2.704683607,up
Cacybp,4,2.414123511,2.435178301,3.086443277,2.42382004,up
Fkbp2,6,3.111272684,2.593485994,4.795127271,4.343839818,up
Tceb2,4,1.585005549,2.146219022,2.553472413,2.540998503,up
Fam111a,6,3.025353674,4.363746296,4.854238228,2.90911411,up
Etfb,3,1.910272597,2.307907509,2.558677378,2.117135963,up
Psmg2,5,1.022914033,2.90473104,3.032819644,2.740440936,up
Dtymk,6,2.910803803,4.511372495,4.842959336,3.124023056,up
Timm50,4,1.609496014,2.297620159,4.324512338,1.894138957,up
Ola1,2,0.951818089,1.915121618,2.467048153,1.187038787,up
Psmd2,5,1.260098379,2.156329312,2.494839815,1.976290234,up
Nudt5,5,2.440103994,3.545688468,4.381611618,2.887751761,up
Chaf1b,6,3.549700358,4.199599752,4.253233451,1.334908306,up
Dut,6,3.250431132,4.859115307,5.324014525,3.211388735,up
Eif4a3,6,1.63343699,3.237810022,3.694716411,2.256681431,up
Atp5j2,2,1.68498098,2.678769586,2.719561473,2.547672757,up
Fastk,2,0.831689939,0.711568685,0.985178753,0.539992122,up
Orc6,6,2.128241571,4.041380143,5.682624672,3.082979755,up
Nhp2,5,2.804882084,3.795197446,4.462064082,2.27565833,up
Dkc1,5,2.550365572,2.839968243,3.408531367,2.181620297,up
Mrps18b,4,1.444325944,2.622614341,2.63779706,1.785652661,up
Erap1,2,1.219023776,1.423197026,2.126178198,0.809925523,up
Siva1,6,3.204986733,4.515380793,6.359195582,2.598282767,up
Cct6a,5,1.718534785,2.584905274,2.881621502,2.132036205,up
Tuba1b,6,2.776643531,3.611419544,4.549483039,3.155995783,up
